ball_1,ball_2,ball_3,ball_4,ball_5,win_times
14,16,28,32,42,1
13,16,28,32,42,1
13,14,28,32,42,1
13,14,16,32,42,1
13,14,16,28,42,1
13,14,16,28,32,1
1,14,16,25,39,1
1,5,16,25,39,1
1,5,14,25,39,1
1,5,14,16,39,1
3,17,18,20,38,1
2,6,29,37,38,1
6,11,26,29,38,1
16,25,36,38,39,1
22,31,36,38,39,1
6,31,36,38,39,1
6,22,36,38,39,1
6,22,31,38,39,1
6,22,31,36,39,1
6,22,31,36,38,1
25,33,36,38,39,1
16,33,36,38,39,1
16,25,33,38,39,1
2,19,21,22,40,1
16,25,33,36,39,1
16,25,33,36,38,1
9,13,15,32,39,1
4,13,15,32,39,1
4,9,13,32,39,1
4,9,13,15,39,1
4,9,13,15,32,1
17,23,30,31,36,1
18,20,25,30,32,1
18,20,25,30,39,1
18,20,25,32,39,1
18,20,30,32,39,1
2,11,19,22,40,1
2,11,19,21,40,1
2,11,19,21,22,1
2,6,11,16,18,1
1,6,11,16,18,1
1,2,11,16,18,1
1,2,6,16,18,1
1,2,6,11,18,1
1,2,6,11,16,1
19,20,22,28,38,1
11,20,22,28,38,1
11,19,22,28,38,1
11,19,20,28,38,1
11,19,20,22,38,1
11,19,20,22,28,1
20,25,30,32,39,1
18,25,30,32,39,1
2,23,30,31,36,1
2,17,30,31,36,1
2,17,23,31,36,1
13,20,24,36,42,1
11,13,24,36,42,1
11,13,20,36,42,1
11,13,20,24,42,1
11,13,20,24,36,1
18,24,26,34,40,1
3,24,26,34,40,1
3,18,26,34,40,1
3,18,24,34,40,1
3,18,24,26,40,1
3,18,24,26,34,1
13,14,21,31,34,1
5,14,21,31,34,1
5,13,21,31,34,1
5,13,14,31,34,1
5,13,14,21,34,1
5,13,14,21,31,1
11,25,28,38,40,1
11,20,24,36,42,1
5,8,29,30,32,1
2,17,23,30,36,1
5,8,29,30,35,1
2,17,23,30,31,1
7,8,12,16,37,1
3,8,12,16,37,1
3,7,12,16,37,1
3,7,8,16,37,1
3,7,8,12,37,1
3,7,8,12,16,1
21,22,23,24,39,1
5,22,23,24,39,1
5,21,23,24,39,1
5,21,22,24,39,1
5,21,22,23,39,1
5,21,22,23,24,1
8,29,30,32,35,1
5,29,30,32,35,1
5,8,30,32,35,1
5,8,29,32,35,1
2,11,21,22,40,1
11,19,21,22,40,1
2,11,28,38,40,1
4,17,18,21,41,1
6,7,18,24,31,1
19,28,29,37,38,1
18,28,29,37,38,1
18,19,29,37,38,1
18,19,28,37,38,1
18,19,28,29,38,1
18,19,28,29,37,1
10,17,18,21,41,1
4,10,18,21,41,1
12,14,20,27,28,1
4,10,17,21,41,1
4,10,17,18,41,1
4,10,17,18,21,1
9,10,14,15,32,1
4,10,14,15,32,1
4,9,14,15,32,1
4,9,10,15,32,1
4,9,10,14,32,1
6,7,18,24,34,1
6,7,18,31,34,1
6,7,24,31,34,1
6,18,24,31,34,1
1,16,22,23,36,1
6,8,11,29,38,1
6,8,11,26,38,1
6,8,11,26,29,1
20,23,27,28,37,1
5,23,27,28,37,1
5,20,27,28,37,1
5,20,23,28,37,1
5,20,23,27,37,1
5,20,23,27,28,1
13,20,29,33,42,1
12,20,29,33,42,1
12,13,29,33,42,1
12,13,20,33,42,1
12,13,20,29,42,1
12,13,20,29,33,1
