game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
1298,5,2,2014,01,03,29,30,34,36,2,0,15000000,0,5000000,1,19442,4,9721,23,642,159,321,430,54,3117,27
1299,8,2,2014,08,10,21,23,26,37,8,0,15000000,0,5000000,1,18140,5,9070,35,472,233,236,607,46,3853,23
1300,12,2,2014,10,20,21,26,33,40,7,0,15000000,0,5000000,1,17946,5,8973,47,466,210,233,772,44,3624,22
1301,15,2,2014,01,07,23,29,31,42,6,0,15000000,0,5000000,0,0,9,6273,45,428,245,214,533,48,3733,24
1302,19,2,2014,06,11,24,25,33,36,7,0,15000000,0,5000000,1,17938,4,8969,47,352,251,176,694,38,3652,19
1303,22,2,2014,03,10,14,21,29,36,0,0,15000000,0,5000000,1,14010,5,7005,22,404,230,202,383,46,3158,23
1304,26,2,2014,16,19,29,34,35,37,4,0,15000000,0,5000000,0,0,8,5351,31,416,198,208,493,46,2758,23
1305,1,3,2014,17,22,30,34,35,38,8,0,15000000,0,5000000,1,34248,1,17124,29,402,230,201,384,48,3084,24
1306,5,3,2014,09,14,15,32,34,38,9,0,15000000,0,5000000,0,0,2,21834,24,546,154,273,435,50,2696,25
1307,8,3,2014,07,10,12,30,35,36,1,0,15000000,0,5000000,2,18058,2,9029,21,458,225,229,428,48,3308,24
1308,12,3,2014,01,11,18,24,29,42,6,0,15000000,0,5000000,1,10674,7,5337,42,302,273,151,437,42,3181,21
1309,15,3,2014,01,04,18,19,24,30,5,0,15000000,0,5000000,1,14234,5,7117,37,446,178,223,631,46,2742,23
1310,19,3,2014,07,14,22,23,37,41,5,0,15000000,0,5000000,0,0,5,8208,32,392,201,196,497,44,2806,22
1311,22,3,2014,01,10,11,19,27,28,2,0,15000000,0,5000000,0,0,7,6062,34,390,208,195,484,48,2687,24
1312,26,3,2014,08,11,14,15,21,40,4,0,15000000,0,5000000,2,15092,2,7546,31,418,182,209,483,42,2917,21
1313,29,3,2014,13,24,28,31,32,36,2,0,15000000,0,5000000,0,0,0,0,19,522,164,261,432,48,2743,24
1314,2,4,2014,05,07,22,24,38,41,2,0,15000000,0,5000000,0,0,2,20182,16,542,157,271,385,48,2682,24
1315,5,4,2014,03,05,08,13,23,34,5,0,15000000,0,5000000,2,8262,8,4131,70,302,230,151,775,38,3192,19
1316,9,4,2014,10,11,27,29,31,34,9,0,15000000,0,5000000,0,0,2,20789,20,536,157,268,345,50,2746,25
1317,12,4,2014,05,11,18,20,39,41,6,0,15000000,0,5000000,0,0,8,5393,24,420,213,210,486,46,2826,23
1318,16,4,2014,15,16,18,20,37,39,3,0,15000000,0,5000000,0,0,1,40768,29,506,147,253,501,48,2535,24
1319,19,4,2014,02,03,08,11,19,34,7,0,15000000,0,5000000,1,17532,4,8766,50,392,203,196,715,42,3125,21
1320,23,4,2014,35,06,25,39,22,10,5,0,15000000,0,5000000,0,0,3,12461,24,430,173,215,436,44,2549,22
1321,26,4,2014,14,32,13,20,27,37,4,0,15000000,0,5000000,0,0,5,8510,38,456,161,228,516,46,2748,23
1322,30,4,2014,29,04,23,14,36,20,7,0,15000000,0,5000000,2,9278,6,4639,34,398,195,199,594,42,2798,21
1323,3,5,2014,20,23,15,38,29,21,4,0,15000000,0,5000000,0,0,2,17745,20,484,146,242,363,48,2292,24
1324,7,5,2014,39,26,36,02,18,17,7,0,15000000,0,5000000,2,9224,6,4612,31,470,159,235,489,46,2675,23
1325,10,5,2014,18,40,15,10,03,06,8,0,15000000,0,5000000,0,0,3,13142,25,420,188,210,474,44,2637,22
1326,14,5,2014,21,04,41,33,19,40,4,0,15000000,0,5000000,0,0,1,41061,17,496,177,248,548,40,3081,20
1327,17,5,2014,10,34,13,38,37,23,0,0,15000000,0,5000000,0,0,4,10528,21,550,152,275,378,52,2614,26
1328,21,5,2014,21,42,22,30,13,25,0,0,15000000,0,5000000,0,0,4,9918,23,394,210,197,399,42,3130,21
1329,24,5,2014,34,38,27,07,12,25,5,0,15000000,0,5000000,0,0,7,5787,41,364,201,182,609,42,2727,21
1330,28,5,2014,27,16,24,22,30,23,4,0,15000000,0,5000000,1,14280,4,7140,31,478,140,239,416,46,2559,23
1331,31,5,2014,24,01,35,07,38,03,5,0,15000000,0,5000000,1,30260,1,15130,22,510,157,255,469,46,2627,23
1332,4,6,2014,22,13,23,02,35,03,3,0,15000000,0,5000000,1,12338,5,6169,34,446,150,223,572,44,2477,22
1333,7,6,2014,04,36,08,42,32,21,6,0,15000000,0,5000000,0,0,6,6806,33,402,192,201,462,44,2925,22
1334,11,6,2014,31,42,38,06,10,35,5,0,15000000,0,5000000,0,0,0,0,21,470,162,235,387,50,2274,25
